Batch,Reward,Loss
381.0,200,0.3303872971981764
382.0,200,0.3984165471792221
383.0,200,0.3554747430980206
384.0,198,0.32883093123664175
385.0,200,0.35307583048939706
386.0,200,0.36499642975628377
387.0,200,0.3409102861583233
388.0,200,0.31476997435092924
389.0,200,0.3261784933507442
390.0,200,0.40608117830008267
391.0,200,0.5898859049379825
392.0,200,0.5780363784730435
393.0,200,0.6538162815570832
394.0,200,1.6383688324317336
395.0,200,2.0370333884377034
396.0,200,2.5794820241071283
397.0,200,2.376459144614637
398.0,187,0.38455364654461544
399.0,200,0.7038638793508852
400.0,200,0.5481026424840093
401.0,200,2.466564502404071
402.0,200,2.408762671612203
403.0,200,2.371768636633642
404.0,200,1.8376063267979772
405.0,200,0.5421914458751069
406.0,200,2.305703357403172
407.0,200,2.4890778359841055
408.0,200,1.8098574720936553
409.0,200,2.4992101558670403
410.0,200,2.4761712090251966
411.0,200,2.423162305969745
412.0,42,2.339166539829679
413.0,200,2.2951248857565223
414.0,200,2.136351844696328
415.0,200,1.3697272815701107
416.0,200,2.224509683812503
417.0,189,1.8039004648863686
418.0,200,1.7469178532250225
419.0,200,0.5913962050713599
420.0,200,0.2570551241189241
421.0,200,0.36468414511531594
422.0,200,0.4900071191973984
423.0,200,1.3899726250674576
424.0,200,1.7343508001975716
425.0,200,0.5626055594533682
426.0,200,0.6265672457963228
427.0,200,1.0407647705823182
428.0,200,2.3610055001452563
429.0,162,0.3034046781346976
430.0,122,0.11053146715952503
431.0,200,0.4431145501881838
432.0,200,0.29267354860901834
433.0,200,0.316730872169137
434.0,200,0.3013266948610544
435.0,200,0.33378896821290255
436.0,200,0.25537847697734833
437.0,200,0.3454274112731218
438.0,200,0.2710302808135748
439.0,200,0.23351542443037032
440.0,200,0.36382684268057347
441.0,200,0.3691880368441343
442.0,200,0.2770296815037727
443.0,200,0.39185056775808336
444.0,200,0.32061376236379147
445.0,200,0.4142802956700325
446.0,200,0.39199652247130873
447.0,200,0.36334111750125886
448.0,200,0.5096773294359446
449.0,200,0.6148492516204714
450.0,200,0.5806233778595924
451.0,200,0.4629710198193788
452.0,200,0.6983140572160482
453.0,200,0.562346066646278
454.0,200,0.7078051067143679
455.0,200,0.7426645063981414
456.0,200,0.6389147265255452
457.0,200,0.5712138435617089
458.0,200,0.5341610232740641
459.0,200,0.5537894963473081
460.0,200,0.6199985486268997
461.0,200,0.5246376817673445
462.0,200,0.5671831144765019
463.0,200,0.7041845722869039
464.0,200,0.7142099945992232
465.0,200,0.986907462310046
466.0,200,1.1622041327133774
467.0,200,1.0181673386879266
468.0,200,0.681455771625042
469.0,200,1.527956951521337
470.0,200,0.8527444926649332
471.0,200,0.7461766263842583
472.0,200,0.6540345114469528
473.0,200,0.4302728985995054
474.0,200,0.5506675833463669
475.0,200,0.6287112364172935
476.0,200,0.5378882905840874
477.0,200,0.8451573499292135
478.0,200,0.5169937830418349
479.0,200,0.8047481687925756
480.0,200,0.3973980336263776
481.0,200,0.9822975952923297
482.0,200,0.6335213362239301
483.0,200,0.8266949436627329
484.0,200,1.3265228136070073
485.0,200,1.1972203843668103
486.0,200,0.9219933155924082
487.0,200,0.10654248565435409
488.0,200,0.09358061350882053
489.0,200,0.1613008063286543
490.0,200,0.14064779594540597
491.0,200,0.10789198312908412
492.0,200,0.12580469530075788
493.0,200,0.1494366681575775
494.0,200,0.19155085746198894
495.0,200,0.47201341710984707
496.0,200,0.1500098182633519
497.0,200,0.14116978216916323
498.0,200,0.15200547609478235
499.0,200,0.1193231476098299
500.0,200,0.21031477935612203
501.0,200,0.5050976050272584
502.0,200,0.5002581296861172
503.0,200,0.2620868977159262
504.0,200,0.6579672550596297
505.0,200,0.8843458376824855
506.0,200,0.35829764403402803
507.0,200,1.1820646682195366
508.0,200,0.7465551183559
509.0,200,0.5089113891124726
510.0,200,0.5669207129441202
511.0,200,0.6521300223097205
512.0,200,0.12408274387940764
513.0,200,0.6287031700834632
514.0,200,1.5666334867477416
515.0,200,1.4220551264472305
516.0,200,0.3354387150332332
517.0,200,0.3967388598434627
518.0,200,0.16833143720403312
519.0,200,0.4786603590659797
520.0,200,1.020619647912681
521.0,200,0.44034380493685604
522.0,200,1.301266047768295
523.0,200,0.8229530278965831
524.0,200,0.16446597561240195
525.0,200,0.8745907968655229
526.0,200,2.049392773387954
527.0,200,2.4295023368578406
528.0,200,2.3400654572057724
529.0,200,2.365242869593203
530.0,200,1.6029934966377914
531.0,200,0.03419263608753681
